# first_value: 1717
# Instance: eil51.tsp
# Method: random-search
# output: time cost
0 1717
1 0.000000 1717
2 0.000000 1643
3 0.000000 1643
4 0.000000 1488
5 0.000000 1488
6 0.000000 1488
7 0.000000 1488
8 0.000000 1488
9 0.000000 1488
10 0.000000 1488
11 0.000000 1488
12 0.000000 1488
13 0.000000 1488
14 0.000000 1488
15 0.000000 1488
16 0.000000 1488
17 0.000000 1488
18 0.000000 1488
19 0.000000 1488
20 0.000000 1340
21 0.000000 1340
22 0.000000 1340
23 0.000000 1340
24 0.000000 1340
25 0.000000 1340
26 0.000000 1340
27 0.000000 1340
28 0.000000 1340
29 0.000000 1340
30 0.000000 1340
31 0.000000 1340
32 0.000000 1340
33 0.000000 1340
34 0.000000 1340
35 0.000000 1340
36 0.000000 1340
37 0.000000 1340
38 0.000000 1340
39 0.000000 1340
40 0.000000 1340
41 0.000000 1340
42 0.000000 1340
43 0.000000 1340
44 0.000000 1340
45 0.000000 1340
46 0.000000 1340
47 0.000000 1340
48 0.000000 1340
49 0.000000 1340
50 0.000000 1340
51 0.000000 1340
52 0.000000 1340
53 0.000000 1340
54 0.000000 1340
55 0.000000 1340
56 0.000000 1340
57 0.000000 1340
58 0.000000 1340
59 0.000000 1340
60 0.000000 1340
61 0.000000 1340
62 0.000000 1340
63 0.000000 1340
64 0.000000 1340
65 0.000000 1340
66 0.000000 1340
67 0.000000 1340
68 0.000000 1340
69 0.000000 1340
70 0.000000 1340
71 0.000000 1340
72 0.000000 1340
73 0.000000 1340
74 0.000000 1340
75 0.000000 1340
76 0.000000 1340
77 0.000000 1340
78 0.000000 1340
79 0.000000 1340
80 0.000000 1340
81 0.000000 1340
82 0.000000 1340
83 0.000000 1340
84 0.000000 1340
85 0.000000 1340
86 0.000000 1340
87 0.000000 1340
88 0.000000 1340
89 0.000000 1340
90 0.000000 1340
91 0.000000 1340
92 0.000000 1340
93 0.000000 1340
94 0.000000 1340
95 0.000000 1340
96 0.000000 1340
97 0.000000 1340
98 0.000000 1340
99 0.000000 1340
100 0.000000 1340
101 0.000000 1340
102 0.000000 1340
103 0.000000 1340
104 0.000000 1340
105 0.000000 1340
106 0.000000 1340
107 0.000000 1340
108 0.000000 1340
