# first_value: 3273
# Instance: eil101.tsp
# Method: random-search
# output: time cost
0 3273
1 0.000000 3273
2 0.000000 3273
3 0.000000 3273
4 0.000000 3273
5 0.000000 3273
6 0.000000 3030
7 0.000000 3030
8 0.000000 3030
9 0.000000 3030
10 0.000000 3030
11 0.000000 3030
12 0.000000 3030
13 0.000000 3030
14 0.000000 3030
15 0.000000 3030
16 0.000000 3030
17 0.000000 3030
18 0.000000 3030
19 0.000000 3030
20 0.000000 3030
21 0.000000 3030
22 0.000000 3030
23 0.000000 3030
24 0.000000 3030
25 0.000000 3030
26 0.000000 3030
27 0.000000 3030
28 0.000000 3030
29 0.000000 3030
30 0.000000 3030
31 0.000000 3030
32 0.000000 3030
33 0.000000 3030
34 0.000000 3030
35 0.000000 3030
36 0.000000 3030
37 0.000000 3030
38 0.000000 3030
39 0.000000 3030
40 0.000000 3030
41 0.000000 3030
42 0.000000 3030
43 0.000000 3030
44 0.000000 3030
45 0.000000 3030
46 0.000000 3030
47 0.000000 3030
48 0.000000 3030
49 0.000000 3030
50 0.000000 3030
51 0.000000 3030
52 0.000000 3030
53 0.000000 3030
54 0.000000 3030
55 0.000000 3030
56 0.000000 3030
57 0.000000 3030
58 0.000000 3030
59 0.000000 3030
60 0.000000 3030
61 0.000000 3030
62 0.000000 3030
63 0.000000 3030
64 0.000000 3030
65 0.000000 3030
66 0.000000 3030
67 0.000000 3030
68 0.000000 3030
69 0.000000 3030
70 0.000000 3030
71 0.000000 3030
72 0.000000 3030
73 0.000000 3030
74 0.000000 3030
75 0.000000 3030
76 0.000000 3030
77 0.000000 3030
78 0.000000 3030
79 0.000000 3030
80 0.000000 3030
81 0.000000 3030
82 0.000000 3030
83 0.000000 3030
84 0.000000 3030
85 0.000000 3030
86 0.000000 3030
87 0.000000 3030
88 0.000000 3030
89 0.000000 3030
90 0.000000 3030
91 0.000000 3030
92 0.000000 3030
93 0.000000 3030
94 0.000000 3030
95 0.000000 3030
96 0.000000 3030
97 0.000000 3030
98 0.000000 3030
99 0.000000 3030
100 0.000000 3030
101 0.000000 3030
102 0.000000 3030
103 0.000000 3030
104 0.000000 3030
105 0.000000 3030
106 0.000000 3030
107 0.000000 3030
108 0.000000 3030
109 0.000000 3030
110 0.000000 3030
111 0.000000 3030
112 0.000000 3030
113 0.000000 3030
114 0.000000 3030
