# Instance: eil101.tsp
# Method: simulated-annealing
# output: step cost
0 3368
0.000000 3187
0.000000 3187
0.000000 3151
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3124
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3060
0.000000 3004
0.000000 3004
0.000000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 3004
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.003000 2981
0.004000 2981
0.004000 2981
